model_name,condition,verification_status,count,total,rate
SmolLM3-3B,C,non_select_query,81,1032,0.07848837209302326
SmolLM3-3B,C,parse_error,605,1032,0.5862403100775194
SmolLM3-3B,C,schema_error,53,1032,0.05135658914728682
SmolLM3-3B,C,success,275,1032,0.26647286821705424
SmolLM3-3B,C,unsafe_cartesian_product,1,1032,0.0009689922480620155
SmolLM3-3B,D,empty_output,5,1032,0.0048449612403100775
SmolLM3-3B,D,execution_error,8,1032,0.007751937984496124
SmolLM3-3B,D,non_select_query,78,1032,0.0755813953488372
SmolLM3-3B,D,parse_error,528,1032,0.5116279069767442
SmolLM3-3B,D,schema_error,50,1032,0.04844961240310078
SmolLM3-3B,D,success,362,1032,0.3507751937984496
SmolLM3-3B,D,unsafe_cartesian_product,1,1032,0.0009689922480620155
